,brand,color,gear,year,body,loc_1,usage,price
4376,پژو پارس ساده,نقره‌ای,دنده‌ای,1385,دو لکه رنگ,مشهد,290.0,48500000.0
4377,پژو پارس ساده,سفید,دنده‌ای,1393,بدون رنگ,تهران,80000.0,70000000.0
4378,پژو 206 تیپ ۵,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تهران,243000.0,39800000.0
4379,جک S5 دنده‌ای,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,90000.0,195000000.0
4380,پژو 206 تیپ ۵,سفید,دنده‌ای,1390,چند لکه رنگ,کرج,200000.0,63000000.0
4381,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,شیراز,50000.0,95000000.0
4382,پژو 206 تیپ ۲,دلفینی,دنده‌ای,1383,چند لکه رنگ,مشهد,300.0,31000000.0
4383,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,تهران,170000.0,42000000.0
4384,پژو پارس ساده,مشکی,دنده‌ای,1387,دو لکه رنگ,رشت,120000.0,52000000.0
4385,پراید 131,سفید,دنده‌ای,1392,دو لکه رنگ,شیراز,1000.0,10000000.0
4386,پراید 131 SX,نقره‌ای,دنده‌ای,1390,بدون رنگ,تهران,189000.0,33200000.0
4387,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,کرج,27000.0,46000000.0
4388,پژو 206 تیپ ۲,سفید,دنده‌ای,1394,یک لکه رنگ,اصفهان,86000.0,72800000.0
4389,پژو پارس ساده,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,55000000.0
4390,دنا معمولی,سفید,دنده‌ای,1397,بدون رنگ,کرمانشاه,45000.0,109000000.0
4391,پژو 206 تیپ ۲,مشکی,دنده‌ای,1384,چند لکه رنگ,اصفهان,0.0,35500000.0
4392,پژو 206 تیپ ۲,سفید,دنده‌ای,1388,بدون رنگ,تهران,215000.0,52000000.0
4393,پراید 111 SE,سفید صدفی,دنده‌ای,1397,بدون رنگ,تهران,29000.0,50000000.0
4394,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,دو لکه رنگ,تهران,35000.0,86000000.0
