,brand,color,gear,year,body,loc_1,usage,price
1413,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,88000000.0
1414,پژو 206 تیپ ۲,سفید,دنده‌ای,1389,چند لکه رنگ,مشهد,235.0,45000000.0
1415,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,9000.0,86500000.0
1416,پراید 131 SL,نقره‌ای,دنده‌ای,1390,چند لکه رنگ,مشهد,500.0,28500000.0
1417,دنا معمولی 1700cc,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,122500000.0
1418,سمند LX ساده,دلفینی,دنده‌ای,1385,چند لکه رنگ,مشهد,300000.0,35000000.0
1419,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,اصفهان,370000.0,39000000.0
1420,پراید 131 SE,سفید,دنده‌ای,1390,چند لکه رنگ,مشهد,78000.0,2800000.0
1421,پراید 131 EX,سفید,دنده‌ای,1395,یک لکه رنگ,تهران,90000.0,43000000.0
1422,پراید 131 SX,سفید,دنده‌ای,1395,بدون رنگ,اصفهان,155.0,44000000.0
1423,پراید 131 SE,نوک‌مدادی,دنده‌ای,1395,بدون رنگ,تهران,120.0,42200000.0
1424,پراید 131 LE,نقره‌ای,دنده‌ای,1387,یک لکه رنگ,اهواز,280.0,25300000.0
1425,جک S5 اتوماتیک,سفید,اتوماتیک,1395,بدون رنگ,رشت,75000.0,245000000.0
1426,پژو پارس ساده,سفید,دنده‌ای,1387,دو لکه رنگ,تبریز,160.0,55000000.0
1427,پراید 131 EX,ذغالی,دنده‌ای,1380,چند لکه رنگ,تهران,300.0,14000000.0
1428,پژو 206 تیپ ۲,مشکی,دنده‌ای,1382,چند لکه رنگ,رشت,260000.0,35000000.0
1429,سمند LX EF7 بنزینی,سفید,دنده‌ای,1393,بدون رنگ,اصفهان,79000.0,75000000.0
1430,پژو پارس ساده,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,تهران,300000.0,39600000.0
1431,پراید 131 SE,سفید,دنده‌ای,1394,بدون رنگ,تهران,78000.0,39500000.0
1432,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1383,چند لکه رنگ,اصفهان,300.0,29800000.0
1433,پراید 111 SE,سفید,دنده‌ای,1397,بدون رنگ,اصفهان,25000.0,50800000.0
1434,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تهران,185000.0,36000000.0
1435,جک S5 اتوماتیک,مشکی,اتوماتیک,1397,بدون رنگ,اصفهان,360.0,195000000.0
1436,پراید 131 SE,سفید,دنده‌ای,1395,بدون رنگ,اهواز,114.0,42000000.0
1437,پژو 206 تیپ ۲,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,75000000.0
1438,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,بدون رنگ,تهران,90000.0,88000000.0
1439,سمند LX EF7 گازسوز,سفید,دنده‌ای,1393,بدون رنگ,رشت,180.0,82800000.0
1440,پژو 206 تیپ ۲,سفید,دنده‌ای,1389,چند لکه رنگ,کرج,180.0,55000000.0
1441,پژو پارس ساده,نقره‌ای,دنده‌ای,1386,بدون رنگ,اصفهان,360.0,50000000.0
1442,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1387,یک لکه رنگ,کرج,189000.0,40000000.0
1443,پژو 206 تیپ ۲,یشمی,دنده‌ای,1382,چند لکه رنگ,تبریز,298000.0,33000000.0
1444,پراید 131 SX,سفید,دنده‌ای,1392,دو لکه رنگ,تهران,180000.0,34000000.0
1445,پژو پارس ساده,نقره‌ای,دنده‌ای,1384,دو لکه رنگ,اصفهان,222.0,46900000.0
1446,پژو 206 تیپ ۵,نوک‌مدادی,دنده‌ای,1396,بدون رنگ,تهران,98000.0,88000000.0
1447,تیبا صندوق‌دار SX,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,49000.0,50000000.0
1448,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1393,بدون رنگ,اهواز,100000.0,59000000.0
1449,پراید 131 EX,سبز,دنده‌ای,1385,یک لکه رنگ,تهران,330000.0,22500000.0
1450,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,چند لکه رنگ,شیراز,250.0,38500000.0
1451,پژو 206 تیپ ۲,بژ,دنده‌ای,1383,چند لکه رنگ,اصفهان,300.0,35000000.0
1452,پراید 131 SE,سفید,دنده‌ای,1392,دو لکه رنگ,تهران,180.0,33000000.0
1453,سمند LX ساده,سفید,دنده‌ای,1394,یک لکه رنگ,اهواز,120000.0,62000000.0
1454,پژو 206 تیپ ۲,سفید,دنده‌ای,1387,چند لکه رنگ,تبریز,270.0,49500000.0
1455,پراید 131 دوگانه‌ سوز,نقره‌ای,دنده‌ای,1388,بدون رنگ,مشهد,220.0,32000000.0
1456,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,45000.0,45500000.0
1457,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,تهران,90.0,4350000.0
1458,سمند LX EF7 گازسوز,سفید صدفی,دنده‌ای,1391,چند لکه رنگ,مشهد,215000.0,61000000.0
1459,پژو 206 تیپ ۲,بژ,دنده‌ای,1382,بدون رنگ,قم,180000.0,32000000.0
1460,سمند LX EF7 بنزینی,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,101500000.0
1461,سمند LX ساده,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,تبریز,213.0,38500000.0
1462,پژو 206 تیپ ۲,مشکی,دنده‌ای,1395,دو لکه رنگ,تهران,88000.0,75000000.0
1463,سمند LX ساده,سرمه‌ای,دنده‌ای,1395,چند لکه رنگ,رشت,80000.0,61500000.0
1464,سمند LX EF7 بنزینی,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,97000000.0
1465,پراید 131 EX,سفید,دنده‌ای,1394,بدون رنگ,تهران,130000.0,40000000.0
1466,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1391,چند لکه رنگ,کرمانشاه,170000.0,41500000.0
1467,سمند LX ساده,خاکستری,دنده‌ای,1386,دو لکه رنگ,مشهد,350000.0,39000000.0
1468,سمند LX EF7 بنزینی,سفید,دنده‌ای,1391,بدون رنگ,اصفهان,123000.0,61000000.0
1469,پراید 131 SX,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,70000.0,44000000.0
1470,سمند LX ساده,سفید صدفی,دنده‌ای,1390,چند لکه رنگ,تهران,160000.0,50000000.0
1471,سمند LX ساده,مشکی,دنده‌ای,1382,چند لکه رنگ,تهران,300000.0,27500000.0
1472,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1389,چند لکه رنگ,قم,230000.0,44000000.0
1473,سمند LX EF7 گازسوز,خاکستری,دنده‌ای,1390,دو لکه رنگ,شیراز,123450.0,51000000.0
1474,پراید 111 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,15000.0,53500000.0
1475,پراید 131 SE,سفید,دنده‌ای,1395,بدون رنگ,اصفهان,88.0,45500000.0
1476,سمند LX EF7 بنزینی,سفید صدفی,دنده‌ای,1393,یک لکه رنگ,مشهد,90000.0,68000000.0
1477,سمند LX EF7 بنزینی,سفید,دنده‌ای,1395,چند لکه رنگ,اصفهان,94000.0,67000000.0
1478,سمند LX ساده,نقره‌ای,دنده‌ای,1388,دو لکه رنگ,کرج,270.0,50000000.0
1479,پراید 111 EX,سفید,دنده‌ای,1394,دو لکه رنگ,مشهد,72000.0,42000000.0
1480,پژو پارس ساده,سفید,دنده‌ای,1387,چند لکه رنگ,شیراز,38000.0,50000000.0
1481,پراید 111 SX,سفید,دنده‌ای,1389,چند لکه رنگ,کرج,225777.0,34500000.0
1482,پراید 131 SE,سفید,دنده‌ای,1395,بدون رنگ,کرمانشاه,150000.0,42000000.0
1483,سمند LX ساده,سفید,دنده‌ای,1395,دو لکه رنگ,تهران,120000.0,70000000.0
1484,پژو 405 GLX بنزینی,خاکستری,دنده‌ای,1394,بدون رنگ,شیراز,222.0,60700000.0
1485,پژو پارس ساده,سفید,دنده‌ای,1392,بدون رنگ,تهران,110000.0,72000000.0
1486,سمند LX,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,86800000.0
1487,سمند LX ساده,سفید,دنده‌ای,1388,دو لکه رنگ,تبریز,150.0,41500000.0
1488,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,5000.0,47000000.0
1489,پراید 131 LE,سفید,دنده‌ای,1380,چند لکه رنگ,تبریز,1.0,16000000.0
1490,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,بدون رنگ,کرج,87.0,86700000.0
1491,پژو 206 تیپ ۲,مشکی,دنده‌ای,1381,چند لکه رنگ,مشهد,60000.0,27000000.0
1492,پژو 206 تیپ ۵,سفید,دنده‌ای,1394,بدون رنگ,اهواز,100000.0,75000000.0
1493,پژو پارس ساده,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,تهران,4000.0,40000000.0
1494,پژو 206 تیپ ۲,بژ,دنده‌ای,1384,چند لکه رنگ,مشهد,270000.0,42000000.0
1495,پراید 131 SE,سفید,دنده‌ای,1396,دو لکه رنگ,اهواز,360.0,44000000.0
1496,پراید 131 SE,سفید,دنده‌ای,1396,چند لکه رنگ,اهواز,50000.0,41500000.0
1497,پراید 111 SX,نوک‌مدادی,دنده‌ای,1390,بدون رنگ,مشهد,180.0,34300000.0
1498,سمند LX EF7 گازسوز,سفید,دنده‌ای,1390,چند لکه رنگ,تهران,250000.0,53500000.0
1499,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,شیراز,65000.0,94900000.0
1500,دنا معمولی 1700cc,سفید,دنده‌ای,1396,بدون رنگ,کرج,360.0,115000000.0
1501,سمند LX ساده,نقره‌ای,دنده‌ای,1385,دو لکه رنگ,مشهد,1111.0,35000000.0
1502,پراید 131 EX,سفید,دنده‌ای,1397,بدون رنگ,تهران,57000.0,46450000.0
1503,پراید 131 دوگانه‌ سوز,نوک‌مدادی,دنده‌ای,1387,چند لکه رنگ,اصفهان,200.0,29500000.0
1504,سمند LX EF7 گازسوز,سفید,دنده‌ای,1395,بدون رنگ,تبریز,70.0,95000000.0
1505,دنا معمولی 1700cc,سفید,دنده‌ای,1398,بدون رنگ,کرمانشاه,360.0,125000000.0
1506,پژو 206 تیپ ۲,سفید,دنده‌ای,1390,چند لکه رنگ,مشهد,142000.0,51000000.0
1507,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,تهران,81000.0,44000000.0
1508,پژو پارس ساده,نقره‌ای,دنده‌ای,1382,یک لکه رنگ,تهران,250000.0,34500000.0
1509,سمند LX ساده,سفید,دنده‌ای,1397,بدون رنگ,رشت,40000.0,80500000.0
1510,جک S5 دنده‌ای,سفید,دنده‌ای,1395,بدون رنگ,شیراز,73000.0,218000000.0
1511,سمند LX ساده,نوک‌مدادی,دنده‌ای,1393,چند لکه رنگ,کرج,140000.0,56000000.0
1512,پراید 131 SE,سفید,دنده‌ای,1395,دو لکه رنگ,تهران,71000.0,43000000.0
1513,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1382,چند لکه رنگ,تهران,210000.0,27500000.0
1514,پراید 111 SX,سفید,دنده‌ای,1395,بدون رنگ,کرمانشاه,53.0,46000000.0
1515,پژو 206 تیپ ۲,سفید,دنده‌ای,1389,چند لکه رنگ,اهواز,20000.0,55000000.0
1516,سمند LX ساده,سفید,دنده‌ای,1394,بدون رنگ,تهران,117000.0,65500000.0
1517,تیبا صندوق‌دار SX,سفید,دنده‌ای,1394,چند لکه رنگ,اهواز,277000.0,42000000.0
1518,جک S5 اتوماتیک,مشکی,اتوماتیک,1396,بدون رنگ,قم,360.0,265000000.0
1519,پراید 131 EX,نقره‌ای,دنده‌ای,1389,چند لکه رنگ,تهران,290000.0,28500000.0
1520,پراید 131,سفید,دنده‌ای,1397,یک لکه رنگ,تهران,65000.0,43500000.0
1521,پراید 131 SE,سفید صدفی,دنده‌ای,1396,بدون رنگ,تهران,77000.0,43500000.0
1522,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,دو لکه رنگ,تبریز,89.0,86800000.0
1523,سمند LX,سفید,دنده‌ای,1388,چند لکه رنگ,کرمانشاه,294000.0,49500000.0
1524,پژو پارس ساده,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,کرج,240.0,46000000.0
1525,پژو پارس ساده,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,مشهد,300000.0,37500000.0
1526,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,دو لکه رنگ,تهران,118000.0,78000000.0
1527,پژو پارس ساده,سفید,دنده‌ای,1386,یک لکه رنگ,تهران,230.0,48500000.0
1528,پژو 206 تیپ ۵,سفید,دنده‌ای,1397,بدون رنگ,مشهد,54000.0,98000000.0
1529,پراید 131 EX,سفید,دنده‌ای,1396,بدون رنگ,شیراز,70.0,45500000.0
1530,پژو پارس ساده,خاکستری,دنده‌ای,1388,چند لکه رنگ,تهران,220000.0,49000000.0
1531,سمند LX EF7 گازسوز,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,28000000.0
1532,پراید 131 EX,نوک‌مدادی,دنده‌ای,1392,یک لکه رنگ,تهران,59000.0,38500000.0
1533,سمند LX,سفید,دنده‌ای,1398,بدون رنگ,تهران,1.0,40000000.0
1534,پراید 111 SE,سفید,دنده‌ای,1392,چند لکه رنگ,تهران,108000.0,36500000.0
1535,پراید 131 EX,نوک‌مدادی,دنده‌ای,1388,یک لکه رنگ,اصفهان,180000.0,29500000.0
1536,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1382,چند لکه رنگ,تهران,1686.0,26000000.0
1537,پژو پارس ساده,سفید,دنده‌ای,1389,بدون رنگ,تهران,270.0,62000000.0
1538,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1395,چند لکه رنگ,تبریز,110000.0,62000000.0
1539,پراید 131 SX,سبز,دنده‌ای,1383,چند لکه رنگ,کرج,19134.0,20000000.0
1540,پژو پارس ساده,بژ,دنده‌ای,1382,بدون رنگ,کرمانشاه,29000.0,40000000.0
1541,دنا معمولی 1700cc,سفید,دنده‌ای,1397,بدون رنگ,تهران,360.0,116490000.0
1542,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1379,چند لکه رنگ,تبریز,111.0,20000000.0
1543,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,شیراز,111111.0,28000000.0
1544,پراید 111 SE,سفید,دنده‌ای,1394,بدون رنگ,شیراز,45.0,45000000.0
1545,دنا معمولی,نقره‌ای,دنده‌ای,1398,بدون رنگ,کرج,0.0,127000000.0
1546,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,کرج,44000.0,93500000.0
1547,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,تهران,60000.0,46500000.0
1548,پراید 131 SL,نقره‌ای,دنده‌ای,1391,دو لکه رنگ,اصفهان,130000.0,30000000.0
1549,پژو 206 تیپ ۵,بژ,دنده‌ای,1383,چند لکه رنگ,تهران,300.0,37400000.0
1550,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1389,بدون رنگ,تهران,170000.0,38500000.0
1551,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,شیراز,53000.0,98000000.0
1552,پراید 111 EX,سفید,دنده‌ای,1393,دو لکه رنگ,تبریز,193000.0,38500000.0
1553,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,یک لکه رنگ,شیراز,37000.0,87000000.0
1554,پژو 206 تیپ ۵,سفید,دنده‌ای,1393,بدون رنگ,اصفهان,114000.0,82500000.0
1555,جک S5 اتوماتیک,مشکی,اتوماتیک,1396,بدون رنگ,تهران,20000.0,265000000.0
1556,پژو پارس ساده,نقره‌ای,دنده‌ای,1387,یک لکه رنگ,اصفهان,240000.0,53000000.0
1557,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,یک لکه رنگ,اصفهان,40000.0,85000000.0
1558,پژو پارس ساده,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,تبریز,22.0,42000000.0
1559,سمند LX ساده,سفید,دنده‌ای,1392,بدون رنگ,اهواز,190000.0,58000000.0
1560,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,یک لکه رنگ,تهران,55000.0,95000000.0
1561,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,کرج,327000.0,32000000.0
1562,پژو پارس ساده,سفید,دنده‌ای,1388,دو لکه رنگ,مشهد,360.0,48000000.0
1563,پژو پارس ساده,سفید,دنده‌ای,1387,یک لکه رنگ,تهران,200.0,54000000.0
1564,پژو 206 تیپ ۲,سفید,دنده‌ای,1391,بدون رنگ,رشت,148.0,68000000.0
1565,پژو پارس ساده,نقره‌ای,دنده‌ای,1381,دو لکه رنگ,کرج,350.0,34000000.0
1566,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1386,چند لکه رنگ,تهران,245000.0,36500000.0
1567,پراید 131 LE,سفید,دنده‌ای,1376,چند لکه رنگ,تهران,300000.0,11500000.0
1568,پژو پارس ساده,نوک‌مدادی,دنده‌ای,1384,چند لکه رنگ,کرج,290.0,44500000.0
1569,پژو 206 تیپ ۵,سفید,دنده‌ای,1394,چند لکه رنگ,رشت,76000.0,62000000.0
1570,پژو پارس ساده,سفید,دنده‌ای,1388,بدون رنگ,تهران,300000.0,57000000.0
1571,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,چند لکه رنگ,کرج,220000.0,35500000.0
1572,پراید 111 SE,دلفینی,دنده‌ای,1397,بدون رنگ,شیراز,26000.0,52000000.0
1573,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1389,دو لکه رنگ,شیراز,280000.0,41500000.0
1574,پراید 131 SE,سفید,دنده‌ای,1398,بدون رنگ,مشهد,14.0,49800000.0
1575,پژو 206 تیپ ۲,مشکی,دنده‌ای,1389,چند لکه رنگ,تهران,192000.0,47000000.0
1576,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,تهران,49000.0,96500000.0
1577,پژو 206 تیپ ۲,آلبالویی,دنده‌ای,1397,بدون رنگ,تهران,40000.0,83000000.0
1578,پراید 111 SE,سفید,دنده‌ای,1391,یک لکه رنگ,مشهد,210.0,39000000.0
1579,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,قم,46000.0,48000000.0
1580,پژو 206 تیپ ۲,سفید,دنده‌ای,1396,یک لکه رنگ,مشهد,69000.0,80000000.0
1581,پراید 131 SX,سفید,دنده‌ای,1390,یک لکه رنگ,مشهد,197000.0,34000000.0
1582,پراید 111 SE,سفید,دنده‌ای,1398,بدون رنگ,اصفهان,6000.0,5685000.0
1583,پژو پارس ساده,نقره‌ای,دنده‌ای,1385,چند لکه رنگ,کرج,200.0,43000000.0
1584,پژو پارس ساده,نقره‌ای,دنده‌ای,1382,چند لکه رنگ,اصفهان,370000.0,37500000.0
1585,پژو پارس ساده,مشکی,دنده‌ای,1383,چند لکه رنگ,کرمانشاه,350.0,32000000.0
1586,پراید 131 EX,سفید,دنده‌ای,1390,بدون رنگ,رشت,190000.0,33500000.0
1587,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,مشهد,221000.0,22500000.0
1588,سمند LX ساده,مشکی,دنده‌ای,1382,یک لکه رنگ,شیراز,280000.0,24000000.0
1589,پراید 131 SE,نقره‌ای,دنده‌ای,1396,بدون رنگ,تهران,33000.0,44000000.0
1590,سمند LX EF7 بنزینی,سرمه‌ای,دنده‌ای,1393,یک لکه رنگ,تبریز,140000.0,68000000.0
1591,پژو 206 تیپ ۲,سفید,دنده‌ای,1391,دو لکه رنگ,تهران,100000.0,65000000.0
1592,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1387,دو لکه رنگ,تهران,126000.0,48500000.0
1593,سمند LX EF7 گازسوز,سفید,دنده‌ای,1396,بدون رنگ,تهران,53.0,100000000.0
1594,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,اصفهان,400.0,34000000.0
1595,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1397,بدون رنگ,تهران,25000.0,74500000.0
1596,سمند LX EF7 گازسوز,خاکستری,دنده‌ای,1390,یک لکه رنگ,اصفهان,280000.0,58000000.0
1597,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تهران,240.0,39500000.0
1598,پراید 131 دوگانه‌ سوز,سفید,دنده‌ای,1387,دو لکه رنگ,قم,200.0,27000000.0
1599,تیبا صندوق‌دار SX,سفید صدفی,دنده‌ای,1398,بدون رنگ,اصفهان,0.0,57000000.0
1600,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,21000.0,85500000.0
1601,پژو 405 GLX بنزینی,یشمی,دنده‌ای,1383,چند لکه رنگ,کرج,192000.0,28000000.0
1602,پراید 111 SE,سفید,دنده‌ای,1395,یک لکه رنگ,اصفهان,40000.0,43000000.0
1603,پراید 131 EX,نقره‌ای,دنده‌ای,1391,بدون رنگ,اهواز,120000.0,33000000.0
1604,پراید 131 SX,نوک‌مدادی,دنده‌ای,1390,یک لکه رنگ,تهران,240.0,30500000.0
1605,پراید 111 SE,سفید,دنده‌ای,1395,بدون رنگ,مشهد,118000.0,44000000.0
1606,پژو 206 تیپ ۵,نقره‌ای,دنده‌ای,1383,چند لکه رنگ,تبریز,310000.0,31000000.0
1607,پژو پارس ساده,خاکستری,دنده‌ای,1384,چند لکه رنگ,تهران,283000.0,39500000.0
1608,پژو 405 GLX بنزینی,بژ,دنده‌ای,1383,چند لکه رنگ,تهران,210000.0,32000000.0
1609,پراید 111 SE,سفید,دنده‌ای,1392,یک لکه رنگ,اصفهان,180000.0,35200000.0
1610,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,اهواز,46000.0,46000000.0
1611,سمند LX ساده,خاکستری,دنده‌ای,1395,بدون رنگ,تهران,85000.0,69000000.0
1612,پراید 131 SE,سفید,دنده‌ای,1397,یک لکه رنگ,تبریز,53000.0,47000000.0
1613,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1380,چند لکه رنگ,قم,226.0,31000000.0
1614,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1387,چند لکه رنگ,کرمانشاه,140000.0,41000000.0
1615,جک S5 دنده‌ای,سفید,دنده‌ای,1396,یک لکه رنگ,کرمانشاه,360.0,228000000.0
1616,پژو پارس ساده,خاکستری,دنده‌ای,1392,بدون رنگ,شیراز,528.0,65000000.0
1617,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1389,چند لکه رنگ,تهران,180.0,39500000.0
1618,پراید 111 SE,سفید,دنده‌ای,1395,بدون رنگ,اهواز,65000.0,45000000.0
1619,پراید 111 SE,نوک‌مدادی,دنده‌ای,1396,بدون رنگ,مشهد,75000.0,48000000.0
1620,پژو 206 تیپ ۵,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,121000.0,85000000.0
1621,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,چند لکه رنگ,تبریز,88000.0,77000000.0
1622,پژو 206 تیپ ۵,سفید,دنده‌ای,1396,بدون رنگ,مشهد,65000.0,93500000.0
1623,پراید 111 SE,سفید,دنده‌ای,1397,بدون رنگ,کرمانشاه,20000.0,52300000.0
1624,پژو 206 تیپ ۵,نقره‌ای,دنده‌ای,1393,بدون رنگ,تهران,116000.0,76000000.0
1625,پراید 131 EX,سفید,دنده‌ای,1397,بدون رنگ,تهران,25000.0,47800000.0
1626,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,مشهد,35000.0,46000000.0
1627,پراید 131 SE,نوک‌مدادی,دنده‌ای,1397,بدون رنگ,مشهد,15000.0,47500000.0
1628,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,بدون رنگ,اصفهان,200.0,52000000.0
1629,پراید 111 SE,مشکی,دنده‌ای,1383,چند لکه رنگ,تبریز,20000.0,19500000.0
1630,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1389,چند لکه رنگ,تبریز,133000.0,54300000.0
1631,سمند LX ساده,سفید,دنده‌ای,1395,بدون رنگ,مشهد,105.0,75000000.0
1632,جک S5 اتوماتیک,سفید,اتوماتیک,1396,بدون رنگ,تهران,360.0,260000000.0
1633,پژو پارس ساده,نقره‌ای,دنده‌ای,1387,چند لکه رنگ,کرج,160000.0,45000000.0
1634,پژو پارس ساده,سفید,دنده‌ای,1393,بدون رنگ,مشهد,30000.0,78000000.0
1635,جک S5 دنده‌ای,قهوه‌ای,دنده‌ای,1396,بدون رنگ,کرمانشاه,360.0,238000000.0
1636,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,یک لکه رنگ,تهران,100000.0,83000000.0
1637,پژو 206 تیپ ۲,مشکی,دنده‌ای,1390,چند لکه رنگ,شیراز,12000.0,57000000.0
1638,پژو 206 تیپ ۲,سفید,دنده‌ای,1389,چند لکه رنگ,تهران,152000.0,48000000.0
1639,پراید 131 SX,سفید,دنده‌ای,1393,چند لکه رنگ,شیراز,280000.0,35000000.0
1640,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1390,بدون رنگ,مشهد,152.0,46200000.0
1641,پژو 206 تیپ ۵,آبی,دنده‌ای,1394,دو لکه رنگ,مشهد,64000.0,70000000.0
1642,پژو 206 تیپ ۲,دلفینی,دنده‌ای,1386,دو لکه رنگ,شیراز,280000.0,44000000.0
1643,سمند LX EF7 گازسوز,آبی,دنده‌ای,1390,بدون رنگ,اصفهان,230.0,63000000.0
1644,سمند LX ساده,سفید,دنده‌ای,1392,دو لکه رنگ,اصفهان,195000.0,56000000.0
1645,پژو پارس ساده,خاکستری,دنده‌ای,1394,بدون رنگ,شیراز,1234.0,65000000.0
1646,پژو 206 تیپ ۲,سفید,دنده‌ای,1387,چند لکه رنگ,مشهد,190000.0,49000000.0
1647,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1383,چند لکه رنگ,کرج,300000.0,28000000.0
1648,پراید 131 SL,سفید,دنده‌ای,1391,چند لکه رنگ,مشهد,280000.0,30000000.0
1649,تیبا صندوق‌دار SX,سفید,دنده‌ای,1394,بدون رنگ,اصفهان,100.0,55000000.0
1650,پراید 111 SX,نوک‌مدادی,دنده‌ای,1391,بدون رنگ,مشهد,150000.0,37700000.0
1651,سمند LX ساده,نوک‌مدادی,دنده‌ای,1394,بدون رنگ,تهران,65000.0,68000000.0
1652,پژو 206 تیپ ۲,نوک‌مدادی,دنده‌ای,1384,چند لکه رنگ,مشهد,260000.0,32500000.0
1653,پژو 206 تیپ ۲,سفید,دنده‌ای,1396,بدون رنگ,شیراز,46000.0,80000000.0
1654,پژو 206 تیپ ۲,خاکستری,دنده‌ای,1386,چند لکه رنگ,تبریز,315000.0,46000000.0
1655,پژو 405 GLX بنزینی,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,69700000.0
1656,پژو 206 تیپ ۲,بژ,دنده‌ای,1382,چند لکه رنگ,کرج,230000.0,31000000.0
1657,سمند LX ساده,سفید,دنده‌ای,1396,بدون رنگ,تهران,39000.0,75000000.0
1658,پراید 131,سفید,دنده‌ای,1394,بدون رنگ,تهران,72.0,38000000.0
1659,دنا معمولی 1700cc,سفید,دنده‌ای,1397,بدون رنگ,تهران,50000.0,123000000.0
1660,پراید 131 SX,سفید,دنده‌ای,1396,بدون رنگ,مشهد,45000.0,46500000.0
1661,پراید 131 SL,نقره‌ای,دنده‌ای,1391,چند لکه رنگ,اصفهان,200000.0,28500000.0
1662,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,اصفهان,50000.0,86000000.0
