,brand,color,gear,year,body,loc,usage,price
245,17,14,1,19,0,5,185.0,44500000.0
246,3,14,0,20,0,7,360.0,260000000.0
247,26,21,1,7,2,4,20000.0,25000000.0
248,24,23,1,7,2,7,210000.0,36000000.0
249,25,14,1,19,0,7,44000.0,90000000.0
250,26,5,1,7,2,3,200000.0,29000000.0
251,8,14,1,17,0,3,98000.0,61000000.0
252,24,19,1,10,2,3,300000.0,45000000.0
253,26,21,1,6,1,3,330000.0,24000000.0
254,25,14,1,17,0,3,150000.0,74000000.0
255,8,14,1,17,3,7,150000.0,63000000.0
256,21,23,1,14,3,7,236000.0,33000000.0
257,25,14,1,18,0,3,112000.0,80000000.0
258,25,14,1,21,0,1,60000.0,98500000.0
259,24,14,1,21,0,0,39000.0,85000000.0
260,18,14,1,16,1,8,218.0,33000000.0
261,19,21,1,19,2,3,30000.0,41000000.0
262,4,14,1,18,3,9,360.0,190000000.0
263,19,14,1,19,0,3,90000.0,43000000.0
264,27,24,1,11,2,0,170000.0,48000000.0
265,25,21,1,10,0,3,280000.0,49000000.0
266,10,14,1,15,2,3,270000.0,51500000.0
267,16,14,1,22,0,9,14000.0,37000000.0
268,8,14,1,17,0,3,97000.0,71500000.0
269,3,14,0,20,0,5,360.0,262500000.0
270,24,6,1,9,3,3,209.0,44000000.0
271,10,14,1,19,0,2,120000.0,71000000.0
272,19,14,1,15,1,2,1.0,30000000.0
273,24,23,1,8,0,5,200000.0,38500000.0
274,24,14,1,13,0,3,160000.0,58000000.0
275,26,26,1,4,2,7,270.0,20000000.0
276,21,14,1,14,2,3,300000.0,25000000.0
277,21,24,1,13,2,3,11111.0,30000000.0
278,7,15,1,22,0,3,0.0,90000000.0
279,24,23,1,7,2,3,11111.0,33000000.0
280,26,24,1,18,2,6,107000.0,47800000.0
281,9,14,1,13,2,0,220000.0,41000000.0
282,24,23,1,9,1,1,240000.0,42500000.0
283,24,14,1,12,2,5,300000.0,47900000.0
284,21,14,1,14,2,8,160000.0,33000000.0
285,24,14,1,20,0,7,360.0,76500000.0
286,17,14,1,13,3,1,140000.0,25000000.0
287,10,14,1,14,3,8,111111.0,52000000.0
288,24,14,1,20,0,7,35000.0,81000000.0
289,24,14,1,19,1,3,84000.0,71500000.0
290,24,21,1,8,2,5,625.0,42000000.0
291,24,6,1,10,1,2,270.0,52000000.0
292,24,14,1,15,0,7,160000.0,61000000.0
293,26,21,1,7,2,3,236000.0,28500000.0
294,2,14,1,21,0,5,38000.0,55000000.0
295,11,14,1,19,0,1,78000.0,46000000.0
296,8,14,1,17,0,3,143000.0,69000000.0
297,24,14,1,20,0,3,62000.0,80000000.0
298,25,14,1,19,0,3,95000.0,78000000.0
299,19,24,1,16,0,6,162000.0,32500000.0
300,5,14,1,22,0,3,5000.0,122000000.0
301,25,14,1,20,0,0,40000.0,90500000.0
302,23,14,1,21,3,6,21000.0,48500000.0
303,24,14,1,22,0,7,800.0,44000000.0
304,24,14,1,18,0,0,33000.0,77000000.0
305,19,14,1,16,1,8,0.0,34500000.0
306,10,0,1,17,0,7,150000.0,62000000.0
307,26,6,1,14,2,7,125000.0,30000000.0
308,9,14,1,14,2,8,200000.0,55000000.0
309,24,18,1,7,2,9,300000.0,25000000.0
310,19,14,1,19,0,5,65000.0,42000000.0
311,25,6,1,20,2,3,72000.0,80500000.0
312,24,14,1,14,2,8,130000.0,56000000.0
313,24,24,1,8,3,0,295000.0,36500000.0
314,24,14,1,15,2,7,230000.0,61000000.0
315,10,14,1,12,2,8,233000.0,42000000.0
316,25,5,1,8,1,3,295000.0,44500000.0
317,26,23,1,13,0,5,240000.0,42000000.0
318,26,23,1,17,3,5,130000.0,57000000.0
319,19,14,1,3,2,8,200000.0,13500000.0
320,27,14,1,11,1,7,250.0,51000000.0
321,20,23,1,14,2,9,0.0,31000000.0
322,8,16,1,5,2,6,5500.0,31000000.0
323,7,14,1,14,0,7,275000.0,55500000.0
324,24,23,1,7,2,3,197000.0,33500000.0
325,24,23,1,7,2,2,5000.0,2400000.0
326,10,21,1,16,2,0,116000.0,59000000.0
327,24,6,1,10,0,3,260.0,46000000.0
328,26,22,1,8,2,3,170000.0,34000000.0
329,19,14,1,20,1,7,62000.0,44000000.0
330,26,23,1,11,2,8,12800.0,38500000.0
331,24,21,1,6,2,3,290000.0,34000000.0
332,15,14,1,19,0,3,65.0,47000000.0
333,9,14,1,14,3,7,215000.0,56000000.0
334,27,14,1,16,1,3,62000.0,68000000.0
335,21,21,1,8,2,3,0.0,20000000.0
336,24,23,1,8,2,0,240.0,35000000.0
337,19,14,1,21,0,8,20500.0,48500000.0
338,27,6,1,17,0,3,63000.0,78000000.0
339,7,14,1,22,0,7,0.0,85000000.0
340,10,0,1,20,3,3,70.0,73000000.0
341,19,14,1,19,0,8,48000.0,43000000.0
342,26,23,1,8,0,4,250000.0,32000000.0
343,15,14,1,18,1,3,105000.0,41700000.0
344,25,24,1,20,0,3,65000.0,90500000.0
345,25,14,1,20,3,0,50000.0,90000000.0
346,10,14,1,14,2,0,225000.0,50000000.0
347,27,24,1,12,2,3,300.0,53000000.0
348,24,14,1,13,3,5,100.0,52000000.0
349,25,6,1,14,0,3,80.0,76000000.0
